Outfit ID,Shirt/T-Shirt,Trouser,Shoes,Accessories,Target Age,Target Gender,Occasion
1,Sunset Dream T-Shirt,Earthy Chinos Belt,Sleek Loafers Shoes,Classic Silk Tie,Any,Any,Casual, Evening
2,Monochrome T-Shirt,Classic Charm Belt,Classic Oxfords Shoes,Novelty Fun Tie,Any,Any,Business Casual
3,Classic Silk Tie,Denim Fusion Belt,Retro Runner Sneakers,Vintage Corduroy Belt,Any,Any,Casual, Sporty
4,Modern Skinny Tie,Polished Monk Shoes,Vintage Corduroy Belt,Urban Splash T-Shirt,Any,Any,Formal, Business
5,Denim Dreams Sneakers,Rustic Linen Belt,Urban Cargo Belt,Cosmic Voyage T-Shirt,Any,Any,Casual, Street Style
6,Modern Brogues Shoes,ActiveTech Pants Belt,Floral Elegance Tie,Serenity Sky T-Shirt,Any,Any,Formal, Business
7,Bold High-Tops Sneakers,Plaid Sophisticate Tie,Rustic Linen Belt,Fiesta Frenzy T-Shirt,Any,Any,Casual, Street Style
8,Cap Toe Charm Shoes,Plaid Sophisticate Tie,Sleek Loafers Shoes,Doodle Daze T-Shirt,Any,Any,Formal, Business
9,Modern Skinny Tie,Vintage Corduroy Belt,Sleek Loafers Shoes,Adventure Awaits T-Shirt,Any,Any,Casual, Outdoor
10,Plaid Sophisticate Tie,Charcoal Slacks Belt,Classic Oxfords Shoes,Monochrome T-Shirt,Any,Any,Formal, Business
11,Bold Camo T-Shirt,Classic Charm Belt,Classic Oxfords Shoes,Bold Stripes Tie,Any,Any,Casual, Street Style
12,Denim Dreams Sneakers,Earthy Chinos Belt,Sleek Loafers Shoes,Modern Skinny Tie,Any,Any,Casual, Sporty
13,Adventure Awaits T-Shirt,Classic Charm Belt,Sleek Loafers Shoes,Vintage Corduroy Belt,Any,Any,Casual, Outdoor
14,Cosmic Voyage T-Shirt,Rustic Linen Belt,Sleek Loafers Shoes,Denim Fusion Belt,Any,Any,Formal, Evening
15,Serenity Sky T-Shirt,Denim Fusion Belt,Sleek Loafers Shoes,Classic Silk Tie,Any,Any,Casual, Business
16,Classic Silk Tie,Earthy Chinos Belt,Classic Oxfords Shoes,Urban Splash T-Shirt,Any,Any,Formal, Business
17,Plaid Sophisticate Tie,Denim Fusion Belt,Sleek Loafers Shoes,Sleek Loafers Shoes,Any,Any,Formal, Business
18,Bold Camo T-Shirt,Rustic Linen Belt,Classic Oxfords Shoes,Sleek Loafers Shoes,Any,Any,Casual, Street Style
19,Adventure Awaits T-Shirt,Classic Charm Belt,Sleek Loafers Shoes,Sleek Loafers Shoes,Any,Any,Casual, Outdoor
20,Serenity Sky T-Shirt,Classic Charm Belt,Sleek Loafers Shoes,Classic Silk Tie,Any,Any,Casual, Business
21,Fiesta Frenzy T-Shirt,Vintage Corduroy Belt,Sleek Loafers Shoes,Retro Paisley Tie,Any,Any,Casual, Street Style
22,Classic Charm Belt,Denim Fusion Belt,Classic Oxfords Shoes,Modern Skinny Tie,Any,Any,Formal, Business
23,Cosmic Voyage T-Shirt,Charcoal Slacks Belt,Cap Toe Charm Shoes,Geometric Charm Tie,Any,Any,Casual, Street Style
24,Serenity Sky T-Shirt,ActiveTech Pants Belt,Bold High-Tops Sneakers,Bold Stripes Tie,Any,Any,Casual, Outdoor
25,Monochrome T-Shirt,Rustic Linen Belt,Classic Oxfords Shoes,Classic Silk Tie,Any,Any,Business Casual
26,Plaid Sophisticate Tie,Earthy Chinos Belt,Sleek Loafers Shoes,Dapper Fedora Hat,Any,Any,Casual, Stylish
27,Bold Camo T-Shirt,Urban Cargo Belt,Bold High-Tops Sneakers,Casual Beanie Hat,Any,Any,Casual, Street Style
28,Denim Dreams Sneakers,ActiveTech Pants Belt,Retro Paisley Tie,Rustic Linen Belt,Any,Any,Casual, Sporty
29,Modern Brogues Shoes,Denim Fusion Belt,Sleek Loafers Shoes,Monochrome T-Shirt,Any,Any,Formal, Business
30,Adventure Awaits T-Shirt,Classic Charm Belt,Classic Oxfords Shoes,Vintage Silk Pocket Square,Any,Any,Casual, Outdoor
31,Retro Paisley Tie,Denim Fusion Belt,Sleek Loafers Shoes,Earthy Chinos Belt,Any,Any,Casual, Stylish
32,Monochrome T-Shirt,Plaid Sophisticate Tie,Bold High-Tops Sneakers,Sleek Loafers Shoes,Any,Any,Casual, Street Style
33,Classic Silk Tie,Rustic Linen Belt,Classic Oxfords Shoes,Denim Dreams Sneakers,Any,Any,Casual, Sporty
34,Cosmic Voyage T-Shirt,Urban Cargo Belt,Sleek Loafers Shoes,Classic Charm Belt,Any,Any,Casual, Business
35,Serenity Sky T-Shirt,Charcoal Slacks Belt,Cap Toe Charm Shoes,Vintage Silk Pocket Square,Any,Any,Formal, Evening
36,Bold Camo T-Shirt,ActiveTech Pants Belt,Bold High-Tops Sneakers,Denim Fusion Belt,Any,Any,Casual, Street Style
37,Adventure Awaits T-Shirt,Earthy Chinos Belt,Modern Brogues Shoes,Modern Skinny Tie,Any,Any,Formal, Business
38,Plaid Sophisticate Tie,Classic Charm Belt,Classic Oxfords Shoes,Urban Splash T-Shirt,Any,Any,Casual, Outdoor
