Instruction,Output,text
"Describe the product ""Solid Men Multicolor Track Pants"".","The ""Solid Men Multicolor Track Pants"" by York are a comfortable and stylish choice for bottomwear. Made from 100% rich combed cotton, these trackpants offer a rich look and are designed for comfort. The fabric is skin-friendly and the waistband is itch-free, making them suitable for year-round use. They come in a multicolor pattern and feature an elastic closure and side pockets. The current actual price is 2,999, but they are currently on a discount of 69% off, available for 921. The average rating for these track pants is 3.9. The seller is Shyam Enterprises. View Product","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: Describe the product ""Solid Men Multicolor Track Pants"". ### Response: The ""Solid Men Multicolor Track Pants"" by York are a comfortable and stylish choice for bottomwear. Made from 100% rich combed cotton, these trackpants offer a rich look and are designed for comfort. The fabric is skin-friendly and the waistband is itch-free, making them suitable for year-round use. They come in a multicolor pattern and feature an elastic closure and side pockets. The current actual price is 2,999, but they are currently on a discount of 69% off, available for 921. The average rating for these track pants is 3.9. The seller is Shyam Enterprises. View Product"
"What is the current price of the ""Solid Men Multicolor Track Pants""?","The current price of the ""Solid Men Multicolor Track Pants"" is 921. They are currently on a discount of 69% off from the actual price of 2,999.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the current price of the ""Solid Men Multicolor Track Pants""? ### Response: The current price of the ""Solid Men Multicolor Track Pants"" is 921. They are currently on a discount of 69% off from the actual price of 2,999."
"Tell me about the brand ""York"" and its track pants.","York is the brand behind the ""Solid Men Multicolor Track Pants"". These track pants are made from 100% rich combed cotton, providing a comfortable and rich look. They are designed for comfort, with skin-friendly fabric and an itch-free waistband. The pants are suitable for year-round use and proudly made in India. The average rating for these track pants is 3.9. They come in a solid multicolor pattern and have an elastic closure with side pockets. Currently, they are priced at 921 with a discount of 69% off from the original price of 2,999.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: Tell me about the brand ""York"" and its track pants. ### Response: York is the brand behind the ""Solid Men Multicolor Track Pants"". These track pants are made from 100% rich combed cotton, providing a comfortable and rich look. They are designed for comfort, with skin-friendly fabric and an itch-free waistband. The pants are suitable for year-round use and proudly made in India. The average rating for these track pants is 3.9. They come in a solid multicolor pattern and have an elastic closure with side pockets. Currently, they are priced at 921 with a discount of 69% off from the original price of 2,999."
"What are the key features of the ""Solid Men Multicolor Track Pants""?","The ""Solid Men Multicolor Track Pants"" by York offer several key features. They are made from 100% rich combed cotton, giving them a comfortable and rich appearance. These track pants are designed for comfort and have a skin-friendly fabric with an itch-free waistband. They feature an elastic closure and come with side pockets for convenience. The pants are suitable for year-round use and proudly made in India. The average rating for this product is 3.9, and they are currently available for 921 with a discount of 69% off the original price of 2,999.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What are the key features of the ""Solid Men Multicolor Track Pants""? ### Response: The ""Solid Men Multicolor Track Pants"" by York offer several key features. They are made from 100% rich combed cotton, giving them a comfortable and rich appearance. These track pants are designed for comfort and have a skin-friendly fabric with an itch-free waistband. They feature an elastic closure and come with side pockets for convenience. The pants are suitable for year-round use and proudly made in India. The average rating for this product is 3.9, and they are currently available for 921 with a discount of 69% off the original price of 2,999."
"Describe the product ""Self Design Men Multicolor Track Pants"".","The ""Self Design Men Multicolor Track Pants"" by York is a stylish and comfortable bottomwear option. It comes in a multicolor pattern with a self-design. Made from a cotton blend fabric, it offers both comfort and style. The original price of the pants is $2,700, but it's currently available at a discounted price of $1,046, which is 61% off. The average rating of the product is 3.3. The pants are available from the seller ""Shyam Enterprises."" For more details, you can visit the product page here.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: Describe the product ""Self Design Men Multicolor Track Pants"". ### Response: The ""Self Design Men Multicolor Track Pants"" by York is a stylish and comfortable bottomwear option. It comes in a multicolor pattern with a self-design. Made from a cotton blend fabric, it offers both comfort and style. The original price of the pants is $2,700, but it's currently available at a discounted price of $1,046, which is 61% off. The average rating of the product is 3.3. The pants are available from the seller ""Shyam Enterprises."" For more details, you can visit the product page here."
"What are the key features of ""Self Design Men Multicolor Track Pants""?","The ""Self Design Men Multicolor Track Pants"" by York feature a stylish self-design pattern in a multicolor shade. They are made from a comfortable cotton blend fabric, ensuring both style and comfort. The pants are available in sizes ranging from XL to XXL. They are currently on sale with a 61% discount, bringing the price down to $1,046 from the original $2,700. The average rating for the product is 3.3, reflecting its popularity among customers.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What are the key features of ""Self Design Men Multicolor Track Pants""? ### Response: The ""Self Design Men Multicolor Track Pants"" by York feature a stylish self-design pattern in a multicolor shade. They are made from a comfortable cotton blend fabric, ensuring both style and comfort. The pants are available in sizes ranging from XL to XXL. They are currently on sale with a 61% discount, bringing the price down to $1,046 from the original $2,700. The average rating for the product is 3.3, reflecting its popularity among customers."
"Tell me about the sizing and fabric of ""Self Design Men Multicolor Track Pants"".","The ""Self Design Men Multicolor Track Pants"" are available in sizes ranging from XL to XXL, providing a variety of options for customers to choose from. These track pants are crafted from a high-quality cotton blend fabric, which ensures both comfort and durability. The fabric's composition allows for breathability, making these pants suitable for various activities such as workouts, casual outings, and lounging. The multicolor self-design pattern adds a touch of style to the overall appearance of the pants.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: Tell me about the sizing and fabric of ""Self Design Men Multicolor Track Pants"". ### Response: The ""Self Design Men Multicolor Track Pants"" are available in sizes ranging from XL to XXL, providing a variety of options for customers to choose from. These track pants are crafted from a high-quality cotton blend fabric, which ensures both comfort and durability. The fabric's composition allows for breathability, making these pants suitable for various activities such as workouts, casual outings, and lounging. The multicolor self-design pattern adds a touch of style to the overall appearance of the pants."
"What is the price of ""Printed Men Round Neck White T-Shirt""?","The current price of the  ""Printed Men Round Neck White T-Shirt"" is 449. They are currently on a discount of 60% off from the actual price of 799.","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: What is the price of ""Printed Men Round Neck White T-Shirt""? ### Response: The current price of the  ""Printed Men Round Neck White T-Shirt"" is 449. They are currently on a discount of 60% off from the actual price of 799."
"Tell me about the sizing and fabric of  ""Printed Men Round Neck White T-Shirt"".","The ""Printed Men Round Neck White T-Shirt"" are available in size ranging from M to XL. They are made from a comfortable polycotton fabric, ensuring both style and comfort. ","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: Tell me about the sizing and fabric of  ""Printed Men Round Neck White T-Shirt"". ### Response: The ""Printed Men Round Neck White T-Shirt"" are available in size ranging from M to XL. They are made from a comfortable polycotton fabric, ensuring both style and comfort. "
"How to wash ""SayItLoud Men Vest""?","""SayItLoud Men Vest"" are to be washed separately in a luke water, drip dry, and kept away from sunlight","Below is an instruction that describes a specific product related query. Write a response that appropriatley describes about that product.###Instruction: How to wash ""SayItLoud Men Vest""? ### Response: ""SayItLoud Men Vest"" are to be washed separately in a luke water, drip dry, and kept away from sunlight"
