id,title,image_url,actual_price,brand,category_id,description,rating,selling_price,created_at
1,"Baby Fabric Shoes",/images/products/shoe-1.jpg,11,"Allen Solly",2,"Elevate your style with this classy pair of Running shoe from the house of BLACKTOWN brand. Featuring a Contemporary refined design with exceptional comfort, this pair is perfect to give your Quintessential dressing an Upgrade. Sole: Rubber Closure: Pull On Fit Type: Regular Shoe Width: Medium Sole : Eva, Upper Material-Mesh Fabric Upper Lifestyle: Sports Shoes, Running Shoes , Casual Shoes Warranty Type: Manufacturer Care Instructions: Rotate Your Pair Of Shoes Once Every Other Day, Allowing Th",2.5,9,"2023-08-16 09:28:18.849238"
2,"Relaxed Short Full Sleves",/images/products/clothes-1.jpg,45,UNIQLO,1,"The Uniqlo U collection is the realization of a dedicated and skilled team of international designers based at our Paris Research and Development Center led by Artistic Director Christophe Lemaire.  - Dry touch, heavyweight 100% cotton jersey fabric. - The compactly-woven dry touch jersey fabric is durable and gains character with every wash. - Binding at the collar helps retain the neckline shape. - Unisex relaxed cut. NET QUANTITY 1 N. Product ID 461556 Please note that this product may have d",4,12,"2023-08-16 09:39:34.807763"
3,"Silver Deer Heart Neclace",/images/products/jewellery-2.jpg,84,ABC,3,"Gold-toned layered necklace Material and stone type: brass with crystals Plating: gold-plated Closure: lobster closure Warranty: 3 months Warranty provided by brand/manufacturer  Size & Fit Length: 49 cm with Adjustable  Material & Care Material: Brass Plating: Gold-plated Stone type: Crystals   Care Instructions: Wipe your jewellery with a soft cloth after every use Always store your jewellery in a flat box to avoid accidental scratches Keep sprays and perfumes away from your jewellery Do not s",5,30,"2023-08-16 09:52:11.745140"
4,"Girls T-shirt",/images/products/3.jpg,5,AiC,1,"Allensolly an initiative of Madura Fashion & Lifestyle, a division of Aditya Birla Fashion and Lifestyle is India’s largest and fastest growing branded apparel companies and a premium lifestyle player in the retail sector. After consolidating its market leadership with its own brands, it introduced premier international labels, enabling Indian consumers to buy the most prestigious global fashionwear and accessories within the country.",3,3,"2023-08-16 20:08:58.513615"
5,"Blue & White Ethnic Motifs Printed Cotton Maxi Dre",https://loremflickr.com/320/240,0,Libas,8,"Blue and White printed women maxi dress with lace tasselled detail, has a round neck, three quarter sleeves, and flared hem.",0,0,"2023-08-18 13:11:46.783289"
6,"Embellished Block Heels",https://loremflickr.com/320/240,0,Brauch,2,"A pair for white and silver toned embellished block heels, has regular ankle and open back Synthetic upper Cushioned footbed Textured and patterned outsole Warranty: 1 month",0,0,"2023-08-18 13:13:17.170365"
7,"Gold-Plated Classic Chandbalis Earrings",https://loremflickr.com/320/240,0,Rubans,9,"Gold-toned classic chandbalis, gold-plated, has american diamond. Secured with a post and black closure",0,0,"2023-08-18 13:14:38.816250"
8,"Women White Slim Fit Formal Shirt",https://loremflickr.com/320/240,0,Selvia,1,"White solid opaque formal shirt, has a spread collar, button placket, three-quarter regular sleeves, straight them",0,0,"2023-08-18 13:16:51.125794"
9,"Women Black Wide Leg Loose Fit High-Rise Trouser",https://loremflickr.com/320/240,0,Broadstar,10,"Black knitted parallel. Loose fit. Brand Fit: relaxed straight leg. High-rise Length: regular Pattern: solid Flat-front, wtih no pleats design Feature: easy wash 2 pockets",0,0,"2023-08-18 13:18:22.070902"
10,"Women Black & Gold Toned Solid Belt",https://loremflickr.com/320/240,0,Kastner,9,"Look stylist all year with this must-have Kastner black belt. Create a super chic ensemble for your date when you wear this belt with slick black jeans.",0,0,"2023-08-18 13:20:38.980841"
11,"Women Black Solid Formal Shoes",https://loremflickr.com/320/240,0,Krafter,2,"Pack Contains: single watch Display: analogue Movement: quartz Power Source: battery Dial style: silver-toned solid round stainless steel dial Features: reset time, Strap Style: silver toned, bracelet style, metal strap with a foldover closure Water resistant Comes in a signature DressBerry case Warranty: 1 year Warranty provided by brand owner/manufacturer",0,0,"2023-08-18 13:23:47.258947"
12,"Women Silver-Toned Dial & Bracelet Style Straps An",https://loremflickr.com/320/240,0,DressBerry,9,"Pack Contains: single watch Display: analogue Movement: quartz Power Source: battery Dial style: silver-toned solid round stainless steel dial Features: reset time, Strap Style: silver toned, bracelet style, metal strap with a foldover closure Water resistant Comes in a signature DressBerry case Warranty: 1 year Warranty provided by brand owner/manufacturer",0,0,"2023-08-18 13:24:52.472574"
13,"Shoulder Straps Crepe Sheath Mini Dress",https://loremflickr.com/320/240,0,BAESD,1,"Red solid sheath dress Shoulder straps Sleeveless Mini length in straight hem Crepe fabric",0,0,"2023-08-18 13:26:19.981375"
14,"Women Slim Heel Pumps",https://loremflickr.com/320/240,0,MANGO,2,"A pair of black slim heel pumps Has regular ankle and closed back with slip-on closure PU solid upper Cushioned footbed Textured and patterend outsole  Specifications Heel Type Slim Type Pumps Heel Height 3.5 inches Fastening and Back Detail Closed Back Toe Shape Pointed Toe Pattern Solid Ankle Height Regular Occasion Casual",0,0,"2023-08-18 13:28:29.327702"
15,"Ruched Detail Clutch",https://loremflickr.com/320/240,0,"DOROTHY PERKINS",7,"PRODUCT DETAILS  Black ruched detail clutch Has shoulder strap 1 main compartment with button closure Size & Fit Height: 12 cm Width: 24 cm Depth: 4 cm Material & Care 100% Polyurethane Wipe with a clean, dry cloth to remove dust",0,0,"2023-08-18 13:29:05.489153"
16,"Woman 925 Sterling Silver Rose Gold-Toned Cubic Zi",https://loremflickr.com/320/240,0,GIVA,9,"Rose gold-toned cubic zirconia studded deer charm bracelet, rose gold-plated Secured with lobster closure WARRANTY: We offer a warranty* that covers the replacement of your GIVA Jewellery for 6 months from the date of purchase. Providing the original invoice is mandatory. Size & Fit Bracelet length: 6.8" + 1.5" Adjustable Material & Care Sterling Silver Wipe your jewellery with a soft cloth after every use Always store your jewellery in a flat box to avoid accidental scratches Keep sprays and pe",0,0,"2023-08-18 13:31:27.345152"
17,"Women Gold-Toned Choker Necklace",https://loremflickr.com/320/240,0,Ferosh,9,"Gold-toned choker necklace Material and stone type: alloy Closure: lobster closure Size & Fit Length:25cm Specifications Base Metal Alloy Closure Lobster Closure Design Minimal Occasion Western Sustainable Regular Trends Choker Type Necklace",0,0,"2023-08-18 13:31:55.599286"
18,"Red Cut Outs Bodycon Ruched Mini Dress",https://loremflickr.com/320/240,0,BoStreet,1,"PRODUCT DETAILS  Red colour solid bodycon ruched dress Shoulder straps neck Sleeveless Cut outs detail Mini length in straight hem",0,0,"2023-08-18 13:33:25.812898"
19,"Silver-Plated & White Choker Necklace",https://loremflickr.com/320/240,0,"Joker & Witch",9,"Silver-Toned and white choker necklace Material and stone type: Alloy with Pearls Plating: Silver-Plated Closure: Lobster Closure Size & Fit Length: 22 cm Material & Care Material: Alloy Stone Type: Pearls Plating: Silver-Plated",0,0,"2023-08-18 13:34:16.189555"
20,"Strappy Block Heel Gladiators",https://loremflickr.com/320/240,0,HEELSNFEELS,2,"A pair of white strappy block heel gladiators ,has high-top ankle and lace-ups Synthetic upper  Cushioned footbed Textured and patterned outsole Size & Fit Heel height: 7.62 cm Material & Care Synthetic Wipe with a clean and dry cloth to remove dust Specifications Heel Type Block Type Gladiators Heel Height 3 inches Fastening and Back Detail Lace-Ups Toe Shape Open Toe Pattern Solid Ankle Height High-Top Occasion Casual",0,0,"2023-08-18 13:34:56.498214"
21,"Gold-Toned Gold-Plated Wraparound Bracelet",https://loremflickr.com/320/240,0,PALMONAS,9,"Gold-toned wraparound bracelet Material and stone type: stainless steel Plating: gold-plated Closure: slip-on Warranty: 1 year Warranty provided by brand owner/manufacturer Size & Fit Length: 19.4CM Material & Care Material: Stainless Steel Plating: Rose Gold-Plated  CARE INSTRUCTIONS Wipe your jewellery with a soft cloth after every use Always store your jewellery in a flat box to avoid accidental scratches Do not soak your jewellery in water Clean your jewellery using a soft brush, dipped in j",0,0,"2023-08-18 13:35:38.523534"
22,"Women Black Lens Rectangle Sunglasses with UV Prot",https://loremflickr.com/320/240,0,Voyage,6,"Lens Colour: black Frame Colour: silver-toned Style: full rim Type: rectangle sunglasses Frame Material: metal Features: uv protected lens Best suited for oval face Comes in a Voyage hard case Size & Fit Lens width: 52 mm Material & Care Metal Remove dust and grime by gently wiping the lens with a cloth Specifications Type Rectangle Sunglasses Lens Colour Black Feature UV Protected Lens Style Full Rim Frame Colour Silver-Toned Face Shape Oval Case Hard Case",0,0,"2023-08-18 13:36:20.913154"
23,"Women Multicoloured Tie and Dye Dyed Loose T-shirt",https://loremflickr.com/320/240,0,"Difference of Opinion",1,"PRODUCT DETAILS  Multicoloured Tshirt for women Tie and dye dyed Longline length Round neck Short, regular sleeves Knitted cotton fabric Size & Fit Loose The model (height 5'8) is wearing a size S Material & Care Cotton Machine wash Specifications Fabric Cotton Fit Oversized Length Longline Main Trend Tie and Dye Multipack Set Single Neck Round Neck Number of Items 1 Occasion Casual",0,0,"2023-08-18 13:38:22.610869"
24,"Women Blue Mid-Rise Slim Fit Washed & Distressed D",https://loremflickr.com/320/240,0,BoStreet,10,"PRODUCT DETAILS  Blue washed Distressed mid-rise denim shorts, has 2 pockets, button closure Size & Fit Slim Fit The model (height 5'8) is wearing a size 28 Material & Care 85% Cotton 15% Polyester Machine Wash Specifications Waist Rise Mid-Rise Length Above Knee Type Denim Shorts Closure Button Print or Pattern Type Washed Fit Slim Fit Number of Pockets 2 Occasion Casual",0,0,"2023-08-18 13:39:06.237381"
25,"Women White Textured PU Slip-On Sneaker",https://loremflickr.com/320/240,0,"Tokyo Talkies",2,"PRODUCT DETAILS  A pair of pointed toe white slip-on sneakers ,has regular styling, Slip-on detail Pu upper Cushioned footbed Textured and patterned outsole Warranty: 15 days Material & Care Synthetic Wipe with a clean, dry cloth to remove dust Specifications Type Slip-On Sneakers Toe Shape Pointed Toe Pattern Textured Fastening Slip-On Shoe Width Wide Ankle Height Regular Insole EVA or Rubber Sole Material PVC",0,0,"2023-08-18 13:39:41.810324"
