Product ID,Product Name,Brand,Description,Color,Material,Gender,Fit
1,Sunset Dream T-Shirt,Dreamwear,Experience the beautiful sunset with this comfy T-shirt.,Sunset Orange,Cotton,Any,Regular
2,Monochrome T-Shirt,UrbanStyle,Sleek and stylish monochrome T-shirt for a modern look.,Black and White,Cotton,Any,Regular
3,Denim Fusion Belt,DenimDaze,A fusion of denim and leather, perfect for a casual or semi-formal look.,Blue Denim and Brown Leather,Denim and Leather,Any,One Size
4,Classic Charm Belt,EleganceWear,Add a touch of charm to your outfit with this classic belt.,Brown Leather,Leather,Any,One Size
5,Modern Skinny Tie,ModaTies,Upgrade your formal attire with this modern skinny tie.,Navy Blue,Silk,Any,One Size
6,Rustic Linen Belt,HeritageStyle,Add a rustic touch to your outfit with this linen belt.,Beige Linen,Linen,Any,One Size
7,Sleek Loafers Shoes,StepAhead,Step ahead in style with these sleek loafers.,Black Leather,Leather,Any,Slim Fit
8,Earthy Chinos Belt,ChinoCharm,Pair your chinos with this earthy-toned belt for a balanced look.,Olive Green Canvas,Canvas,Any,One Size
9,Classic Oxfords Shoes,TimelessClassics,A timeless classic for formal occasions, these Oxfords never go out of style.,Brown Leather,Leather,Any,Regular
10,Casual Beanie Hat,StreetVogue,Stay casual and trendy with this comfortable beanie hat.,Charcoal Gray,Knit Fabric,Any,One Size
11,ActiveTech Pants Belt,FitGear,Designed for an active lifestyle, this belt complements sporty looks.,Black Neoprene,Neoprene,Any,One Size
12,Retro Paisley Tie,VintageChic,Add a vintage touch to your outfit with this paisley patterned tie.,Maroon and Gold,Silk,Any,One Size
13,Polished Monk Shoes,ClassicKicks,Exude sophistication with these polished monk strap shoes.,Dark Brown Leather,Leather,Any,Regular
14,Urban Cargo Belt,UrbanGear,Complete your urban look with this cargo-style belt.,Black Nylon,Nylon,Any,One Size
15,Adventure Awaits T-Shirt,OutdoorsyGear,Embark on new adventures with this adventurous T-shirt.,Forest Green,Cotton,Any,Regular
16,Bold High-Tops Sneakers,StreetBold,Make a statement with these bold high-tops.,Red and Black,Canvas,Any,Slim Fit
17,Geometric Charm Tie,ModaTies,Elevate your formal outfit with this geometric patterned tie.,Navy Blue and White,Silk,Any,One Size
